Name,Title,Xaxis,Yaxis,Options
d01-x01-y01,Au+Au $K^-$ $0-10%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d01-x01-y02,Au+Au $K^-$ $10-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d01-x01-y03,Au+Au $K^-$ $20-40%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d01-x01-y04,Au+Au $K^-$ $40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d01-x01-y05,Au+Au $K^-$ $60-92%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d01-x01-y06,Au+Au $K^+$ $0-10%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d01-x01-y07,Au+Au $K^+$ $10-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d01-x01-y08,Au+Au $K^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d01-x01-y09,Au+Au $K^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d01-x01-y10,Au+Au $K^+$ $60-92%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d02-x01-y01,d+Au $K^-$ $0-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d02-x01-y02,d+Au $K^-$ $0-100%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d02-x01-y03,d+Au $K^-$ $20-40%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d02-x01-y04,d+Au $K^-$ $40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d02-x01-y05,d+Au $K^-$ $60-88%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d02-x01-y06,d+Au $K^+$ $0-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d02-x01-y07,d+Au $K^+$ $0-100%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d02-x01-y08,d+Au $K^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d02-x01-y09,d+Au $K^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d02-x01-y10,d+Au $K^+$ $60-88%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d03-x01-y01,Au+Au $\pi ^-$ $0-10%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d03-x01-y02,Au+Au $\pi ^-$ $10-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d03-x01-y03,Au+Au $\pi ^-$ $20-40%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d03-x01-y04,Au+Au $\pi ^-$ $40-60%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d03-x01-y05,Au+Au $\pi ^-$ $60-92%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d03-x01-y06,Au+Au $\pi ^+$ $0-10%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
d03-x01-y07,Au+Au $\pi ^+$ $10-20%$ centrality,$p_T$ (GeV/$c$),$d^2 N/(2\pi p_T dp_T dy)$ ($c^2$/GeV$^2$),LogY=<0>
